#chnnl	t(mics)	cnts	pssnerr
32	0.081464174	13	3.605551275
40	0.123001038	13	3.605551275
48	0.164537902	17	4.123105626
56	0.206074766	13	3.605551275
64	0.24761163	12	3.464101615
72	0.289148494	9	3
80	0.330685358	7	2.645751311
88	0.372222222	7	2.645751311
96	0.413759086	9	3
104	0.45529595	12	3.464101615
112	0.496832814	12	3.464101615
120	0.538369678	7	2.645751311
128	0.579906542	13	3.605551275
136	0.621443406	16	4
144	0.66298027	14	3.741657387
152	0.704517134	6	2.449489743
160	0.746053998	7	2.645751311
168	0.787590862	4	2
176	0.829127726	11	3.31662479
184	0.87066459	4	2
192	0.912201454	11	3.31662479
200	0.953738318	8	2.828427125
208	0.995275182	15	3.872983346
216	1.036812046	6	2.449489743
224	1.07834891	8	2.828427125
232	1.119885774	9	3
240	1.161422638	12	3.464101615
248	1.202959502	6	2.449489743
256	1.244496366	4	2
264	1.286033229	11	3.31662479
272	1.327570093	10	3.16227766
280	1.369106957	9	3
288	1.410643821	9	3
296	1.452180685	6	2.449489743
304	1.493717549	12	3.464101615
312	1.535254413	5	2.236067977
320	1.576791277	7	2.645751311
328	1.618328141	7	2.645751311
336	1.659865005	7	2.645751311
344	1.701401869	3	1.732050808
352	1.742938733	5	2.236067977
360	1.784475597	6	2.449489743
368	1.826012461	2	1.414213562
376	1.867549325	4	2
384	1.909086189	3	1.732050808
392	1.950623053	6	2.449489743
400	1.992159917	7	2.645751311
408	2.033696781	7	2.645751311
416	2.075233645	2	1.414213562
424	2.116770509	6	2.449489743
432	2.158307373	7	2.645751311
440	2.199844237	4	2
448	2.241381101	4	2
456	2.282917965	4	2
464	2.324454829	5	2.236067977
472	2.365991693	4	2
480	2.407528557	4	2
488	2.449065421	4	2
496	2.490602285	4	2
504	2.532139148	7	2.645751311
512	2.573676012	15	3.872983346
520	2.615212876	6	2.449489743
528	2.65674974	5	2.236067977
536	2.698286604	5	2.236067977
544	2.739823468	6	2.449489743
552	2.781360332	6	2.449489743
560	2.822897196	2	1.414213562
568	2.86443406	2	1.414213562
576	2.905970924	2	1.414213562
584	2.947507788	2	1.414213562
592	2.989044652	4	2
600	3.030581516	3	1.732050808
608	3.07211838	5	2.236067977
616	3.113655244	4	2
624	3.155192108	1	1
632	3.196728972	1	1
640	3.238265836	2	1.414213562
648	3.2798027	3	1.732050808
656	3.321339564	1	1
664	3.362876428	2	1.414213562
672	3.404413292	2	1.414213562
680	3.445950156	4	2
688	3.48748702	3	1.732050808
696	3.529023884	1	1
704	3.570560748	3	1.732050808
712	3.612097612	4	2
720	3.653634476	1	1
728	3.69517134	3	1.732050808
736	3.736708204	0	0
744	3.778245067	5	2.236067977
752	3.819781931	1	1
760	3.861318795	4	2
768	3.902855659	6	2.449489743
776	3.944392523	0	0
784	3.985929387	1	1
792	4.027466251	3	1.732050808
800	4.069003115	3	1.732050808
808	4.110539979	2	1.414213562
816	4.152076843	0	0
824	4.193613707	2	1.414213562
832	4.235150571	4	2
840	4.276687435	1	1
848	4.318224299	2	1.414213562
856	4.359761163	4	2
864	4.401298027	2	1.414213562
872	4.442834891	1	1
880	4.484371755	3	1.732050808
888	4.525908619	1	1
896	4.567445483	2	1.414213562
904	4.608982347	4	2
912	4.650519211	2	1.414213562
920	4.692056075	2	1.414213562
928	4.733592939	1	1
936	4.775129803	1	1
944	4.816666667	1	1
952	4.858203531	0	0
960	4.899740395	1	1
968	4.941277259	2	1.414213562
976	4.982814123	1	1
984	5.024350987	1	1
992	5.06588785	1	1
1000	5.107424714	2	1.414213562
1008	5.148961578	0	0
1016	5.190498442	2	1.414213562
1024	5.232035306	2	1.414213562
1032	5.27357217	2	1.414213562
1040	5.315109034	0	0
1048	5.356645898	2	1.414213562
1056	5.398182762	0	0
1064	5.439719626	1	1
1072	5.48125649	1	1
1080	5.522793354	1	1
1088	5.564330218	2	1.414213562
1096	5.605867082	1	1
1104	5.647403946	2	1.414213562
1112	5.68894081	1	1
1120	5.730477674	0	0
1128	5.772014538	2	1.414213562
1136	5.813551402	1	1
1144	5.855088266	0	0
1152	5.89662513	0	0
1160	5.938161994	0	0
1168	5.979698858	2	1.414213562
1176	6.021235722	0	0
1184	6.062772586	0	0
1192	6.10430945	1	1
1200	6.145846314	1	1
1208	6.187383178	1	1
1216	6.228920042	0	0
1224	6.270456906	3	1.732050808
1232	6.311993769	0	0
1240	6.353530633	1	1
1248	6.395067497	0	0
1256	6.436604361	0	0
1264	6.478141225	1	1
1272	6.519678089	0	0
1280	6.561214953	0	0
1288	6.602751817	0	0
1296	6.644288681	0	0
1304	6.685825545	0	0
1312	6.727362409	1	1
1320	6.768899273	1	1
1328	6.810436137	0	0
1336	6.851973001	0	0
1344	6.893509865	2	1.414213562
1352	6.935046729	0	0
1360	6.976583593	2	1.414213562
1368	7.018120457	1	1
1376	7.059657321	0	0
1384	7.101194185	0	0
1392	7.142731049	1	1
1400	7.184267913	0	0
