Time	Channel A	Channel B
(ms)	(V)	(V)

-60.00706926	0.07874016	0.00000000
-60.00305326	0.07874016	0.00000000
-59.99903726	0.07874016	0.00000000
-59.99502126	0.07874016	-0.01574803
-59.99100526	0.07874016	0.00000000
-59.98698926	0.07874016	0.00000000
-59.98297326	0.07874016	-0.01574803
-59.97895726	0.07874016	-0.01574803
-59.97494126	0.07874016	-0.01574803
-59.97092526	0.07874016	-0.01574803
-59.96690926	0.07874016	0.00000000
-59.96289326	0.07874016	0.00000000
-59.95887726	0.07874016	0.00000000
-59.95486126	0.07874016	0.00000000
-59.95084526	0.07874016	-0.01574803
-59.94682926	0.07874016	0.00000000
-59.94281326	0.07874016	0.00000000
-59.93879726	0.07874016	0.00000000
-59.93478126	0.07874016	0.00000000
-59.93076526	0.07874016	0.00000000
-59.92674926	0.07874016	-0.01574803
-59.92273326	0.07874016	-0.01574803
-59.91871726	0.07874016	0.00000000
-59.91470126	0.07874016	0.00000000
-59.91068526	0.07874016	0.00000000
-59.90666926	0.07874016	0.00000000
-59.90265326	0.07874016	-0.01574803
-59.89863726	0.07874016	0.00000000
-59.89462126	0.07874016	-0.01574803
-59.89060527	0.07874016	-0.01574803
-59.88658927	0.07874016	0.00000000
-59.88257327	0.07874016	-0.01574803
-59.87855727	0.07874016	-0.01574803
-59.87454127	0.07874016	0.00000000
-59.87052527	0.07874016	0.00000000
-59.86650927	0.07874016	0.00000000
-59.86249327	0.07874016	0.00000000
-59.85847727	0.07874016	0.00000000
-59.85446127	0.07874016	0.00000000
-59.85044527	0.07874016	0.00000000
-59.84642927	0.07874016	0.00000000
-59.84241327	0.07874016	0.00000000
-59.83839727	0.07874016	0.00000000
-59.83438127	0.07874016	0.00000000
-59.83036527	0.07874016	0.00000000
-59.82634927	0.07874016	0.00000000
-59.82233327	0.07874016	0.00000000
-59.81831727	0.07874016	0.00000000
-59.81430127	0.07874016	0.00000000
-59.81028527	0.07874016	0.00000000
-59.80626927	0.07874016	-0.01574803
-59.80225327	0.07874016	0.00000000
-59.79823727	0.07874016	0.00000000
-59.79422127	0.07874016	-0.01574803
-59.79020527	0.07874016	0.00000000
-59.78618927	0.07874016	-0.01574803
-59.78217327	0.07874016	-0.01574803
-59.77815727	0.07874016	-0.01574803
-59.77414127	0.07874016	-0.01574803
-59.77012527	0.07874016	-0.01574803
-59.76610927	0.07874016	0.00000000
-59.76209327	0.07874016	0.00000000
-59.75807727	0.07874016	0.00000000
-59.75406127	0.07874016	0.00000000
-59.75004527	0.07874016	-0.01574803
-59.74602927	0.07874016	0.00000000
-59.74201327	0.07874016	0.00000000
-59.73799727	0.07874016	-0.01574803
-59.73398127	0.07874016	-0.01574803
-59.72996527	0.07874016	-0.01574803
-59.72594927	0.07874016	-0.01574803
-59.72193327	0.07874016	0.00000000
-59.71791727	0.07874016	0.00000000
-59.71390127	0.07874016	0.00000000
-59.70988527	0.07874016	0.00000000
-59.70586927	0.07874016	0.00000000
-59.70185327	0.07874016	0.00000000
-59.69783727	0.07874016	0.00000000
-59.69382127	0.07874016	0.00000000
-59.68980527	0.07874016	0.00000000
-59.68578927	0.07874016	0.00000000
-59.68177327	0.07874016	0.00000000
-59.67775727	0.07874016	0.00000000
-59.67374127	0.07874016	0.00000000
-59.66972527	0.07874016	0.00000000
-59.66570928	0.07874016	0.00000000
-59.66169328	0.07874016	0.00000000
-59.65767728	0.07874016	0.00000000
-59.65366128	0.07874016	0.00000000
-59.64964528	0.07874016	0.00000000
-59.64562928	0.07874016	0.00000000
-59.64161328	0.07874016	0.00000000
-59.63759728	0.07874016	0.00000000
-59.63358128	0.07874016	0.00000000
-59.62956528	0.07874016	0.00000000
-59.62554928	0.07874016	0.00000000
-59.62153328	0.07874016	0.00000000
-59.61751728	0.07874016	0.00000000
-59.61350128	0.07874016	-0.01574803
-59.60948528	0.07874016	-0.01574803
-59.60546928	0.07874016	-0.01574803
-59.60145328	0.07874016	0.00000000
-59.59743728	0.07874016	-0.01574803
-59.59342128	0.07874016	-0.01574803
-59.58940528	0.07874016	0.00000000
-59.58538928	0.07874016	0.00000000
-59.58137328	0.07874016	0.00000000
-59.57735728	0.07874016	0.00000000
-59.57334128	0.07874016	0.00000000
-59.56932528	0.07874016	0.00000000
-59.56530928	0.07874016	0.00000000
-59.56129328	0.07874016	0.00000000
-59.55727728	0.07874016	0.00000000
-59.55326128	0.07874016	0.00000000
-59.54924528	0.07874016	0.00000000
-59.54522928	0.07874016	0.00000000
-59.54121328	0.07874016	-0.01574803
-59.53719728	0.07874016	0.00000000
